evidence_id,section,claim_summary,evidence_type,source,confidence_level,editor_status
AR-IMPL-16-100-204-specialty-court,general,Evidence item pending detailed summary,field_validation,"{""title"": ""Source document"", ""issuing_body"": ""Government entity""}",medium,pending
EV-A-review-of-the-Administrative-Office-of-015,a,A review of the Administrative Office of the Courts (AOC) FY‑2026 appropriation act and associated public documents found no compliance determinations or enforcement actions issued by the AOC in FY‑2026.  The legislation authorizes funding for specialty and drug court programs but contains no compliance determinations.,field_validation,"{""title"": ""The FY‑2025/2026 appropriation act for the AOC provides funding for specialty and drug court programs but does not\ninclude any compliance determinations or enforcement actions【884740964066380†L674-L70"", ""issuing_body"": ""Government entity""}",high,accepted
EV-A-review-of-the-Administrative-Office-of-the-Court,a,A review of the Administrative Office of the Courts (AOC) FY‑2026 appropriation act and associated public documents found no compliance determinations or enforcement actions issued by the AOC in FY‑2026.  The legislation authorizes funding for specialty and drug court programs but contains no compliance determinations.,field_validation,"{""title"": ""The FY‑2025/2026 appropriation act for the AOC provides funding for specialty and drug court programs but does not\ninclude any compliance determinations or enforcement actions【884740964066380†L674-L70"", ""issuing_body"": ""Government entity""}",high,accepted
EV-ADMIN-ORDER-2012-ARK-468,IX. Legal / Regulatory Context > Implementing Policy,Arkansas Supreme Court Administrative Orders 14 and 18 require specialty court programs to be approved through administrative plans.,administrative_rule,"{""title"": ""In re Admin. Order Nos. 14 & 18, 2012 Ark. 468"", ""issuing_body"": ""Arkansas Supreme Court"", ""url"": ""https://law.justia.com/cases/arkansas/supreme-court/2012/2012-ark-468.html""}",high,pending
EV-BUDGET-ACT776-2025-SPECIALTY-COURT-300000,IX. Legal / Regulatory Context > Act 776 of 2025,"Act 776 of 2025 appropriates $300,000 from the Specialty Court Program Fund to the AOC for Specialty Court Program costs and Advisory Committee support.",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,pending
EV-BUDGET-ACT890-2025-DAABHS-CRISIS-5000000,IX. Legal / Regulatory Context > Act 890 of 2025,"Act 890 of 2025 appropriates $5,000,000 for DHS DAABHS Crisis Services.",budget,"{""title"": ""Act 890 of 2025 (SB36) — DAABHS Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=890.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,pending
EV-During-FY2026-the-Arkansas-Department-016,general,"During FY‑2026, the Arkansas Department of Health (ADH) issued appropriation and program announcements for operations and the trauma system, but there were no compliance determinations or enforcement actions.  Searches of the department’s website and news releases did not reveal any such actions.",field_validation,"{""title"": ""The ADH appropriation act details operations and trauma system funding for FY‑2026 and does not include compliance\ndeterminations【209394869917142†L720-L780】【209394869917142†L785-L829】.\n"", ""issuing_body"": ""Government entity""}",high,accepted
EV-During-FY2026-the-Arkansas-Department-of-Health-AD,general,"During FY‑2026, the Arkansas Department of Health (ADH) issued appropriation and program announcements for operations and the trauma system, but there were no compliance determinations or enforcement actions.  Searches of the department’s website and news releases did not reveal any such actions.",field_validation,"{""title"": ""The ADH appropriation act details operations and trauma system funding for FY‑2026 and does not include compliance\ndeterminations【209394869917142†L720-L780】【209394869917142†L785-L829】.\n"", ""issuing_body"": ""Government entity""}",high,accepted
EV-During-a-review-of-Arkansas-Department-o-014,general,"During a review of Arkansas Department of Human Services (DHS) administrative rules, press releases and federal filings for FY‑2026, no compliance determinations were identified.  Searches of DHS’s official website and federal guidance documents yielded operational announcements and appropriation acts but no FY‑2026 compliance determinations.",field_validation,"{""title"": ""Extensive searches of DHS’s website and federal guidance documents (e.g., the section 1115 demonstration approval\nletter) reveal operational guidance but no compliance determinations or enforcement ac"", ""issuing_body"": ""Government entity""}",high,accepted
EV-During-a-review-of-Arkansas-Department-of-Human-Se,general,"During a review of Arkansas Department of Human Services (DHS) administrative rules, press releases and federal filings for FY‑2026, no compliance determinations were identified.  Searches of DHS’s official website and federal guidance documents yielded operational announcements and appropriation acts but no FY‑2026 compliance determinations.",field_validation,"{""title"": ""Extensive searches of DHS’s website and federal guidance documents (e.g., the section 1115 demonstration approval\nletter) reveal operational guidance but no compliance determinations or enforcement ac"", ""issuing_body"": ""Government entity""}",high,accepted
EV-NAADAC-APSP-INTRO,Authority Map: APSP Credentialing,"APSP is described as a three-tier credentialing process (PR/APR/PRPS) with training, education, experience, and supervision requirements.",administrative_rule,"{""title"": ""Introducing the Arkansas Peer Specialist Program"", ""issuing_body"": ""NAADAC"", ""url"": ""https://www.naadac.org/assets/2416/aa&r_spring2021_introducing_the_arkansas_peer_specialist_program.pdf""}",high,accepted
EV-No-FY2026-compliance-determinations-or-017,general,No FY‑2026 compliance determinations or enforcement actions by the Centers for Medicare & Medicaid Services (CMS) affecting Arkansas were identified.  CMS’s 2025 approval letter for Arkansas’s section 1115 demonstration and related federal guidance documents contain program requirements but do not constitute enforcement actions or compliance determinations for FY‑2026.,administrative_rule,"{""title"": ""The CMS approval letter for the Arkansas section 1115 demonstration outlines program conditions and expectations but\ndoes not impose enforcement actions【29633513042789†L1460-L1494】.\n"", ""issuing_body"": ""Government entity""}",high,accepted
EV-No-FY2026-compliance-determinations-or-enforcement,general,No FY‑2026 compliance determinations or enforcement actions by the Centers for Medicare & Medicaid Services (CMS) affecting Arkansas were identified.  CMS’s 2025 approval letter for Arkansas’s section 1115 demonstration and related federal guidance documents contain program requirements but do not constitute enforcement actions or compliance determinations for FY‑2026.,administrative_rule,"{""title"": ""The CMS approval letter for the Arkansas section 1115 demonstration outlines program conditions and expectations but\ndoes not impose enforcement actions【29633513042789†L1460-L1494】.\n"", ""issuing_body"": ""Government entity""}",high,accepted
EV-SB72-2025-AOC-APPROPRIATION,general,"Engrossed version of Senate Bill 72 (Act 776) appropriating funds for the Administrative Office of the Courts for the 2025‑2026 fiscal year.  The bill includes appropriations for the Accountability Court Fund ($400,000), Adult Drug Court Program ($1,000,000), specialty courts ($4,500,000) and other programs【820752699809212†L1290-L1466】.
",field_validation,"{""title"": ""Source document"", ""issuing_body"": ""Government entity""}",medium,pending
EV-Searches-of-the-Substance-Abuse-and-Ment-018,general,Searches of the Substance Abuse and Mental Health Services Administration (SAMHSA) announcements and the Arkansas DHS SABG program pages for FY‑2026 found no compliance determinations or enforcement actions.  The available information focuses on grant program requirements and state prevention initiatives.,field_validation,"{""title"": ""The Arkansas DHS SABG program page and related information discuss prevention requirements and funding but do not\ncontain any compliance determinations or enforcement actions【694662080385875†L862-L870"", ""issuing_body"": ""Government entity""}",high,accepted
EV-Searches-of-the-Substance-Abuse-and-Mental-Health-,general,Searches of the Substance Abuse and Mental Health Services Administration (SAMHSA) announcements and the Arkansas DHS SABG program pages for FY‑2026 found no compliance determinations or enforcement actions.  The available information focuses on grant program requirements and state prevention initiatives.,field_validation,"{""title"": ""The Arkansas DHS SABG program page and related information discuss prevention requirements and funding but do not\ncontain any compliance determinations or enforcement actions【694662080385875†L862-L870"", ""issuing_body"": ""Government entity""}",high,accepted
EVID-AR-ACT1004-2025-DHS-SECRETARY-OFFICE-APPROPRIATIONS,Act 1004 of 2025 — DHS Secretary’s Office appropriation sections,"Arkansas Act 1004 of 2025 contains FY2026 DHS Secretary’s Office appropriations; referenced in-thread as part of DHS budget evidence supporting the dossier.
",budget,"{""title"": ""Arkansas Act 1004 of 2025 (DHS Secretary’s Office Appropriations)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=1004.pdf&ddBienniumSession=2025%2F2025R""}",high,pending
EVID-AR-ACT1004-2025-S5-DHS-Secretary-StateOperations-135455033-FY2026,AR_FY2026_DHS_SECRETARY_OFFICE_STATE_OPERATIONS_ACT1004_SEC5,"Act 1004 of 2025 appropriates a total of $135,455,033 to the Department of Human Services - Secretary's Office for State Operations for FY2026 (including regular salaries, extra help, personal services matching, operating expenses, conference & travel, professional fees and services, and capital outlay).",budget,"{""title"": ""Act 1004 of 2025 — DHS Secretary's Office Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2FMeeting+Attachments%2F083%2F27496%2FExhibit+B2-+Act+1004+of+2025.pdf""}",high,accepted
EVID-AR-ACT1004-2025-S8-DHS-Secretary-PurchaseOfServices-129084-FY2026,AR_FY2026_DHS_SECRETARY_OFFICE_GRANTS_PAYING_PURCHASE_OF_SERVICES_ACT1004_SEC8,"Act 1004 of 2025 appropriates $129,084 to the Department of Human Services - Secretary's Office for grants and paying account purchase of services for FY2026.",budget,"{""title"": ""Act 1004 of 2025 — DHS Secretary's Office Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2FMeeting+Attachments%2F083%2F27496%2FExhibit+B2-+Act+1004+of+2025.pdf""}",high,accepted
EVID-AR-ACT538-2025-ADH-OPERATIONS-TRAUMA-SYSTEM,Act 538 of 2025 — ADH Operations; Trauma System appropriation items,"Arkansas Act 538 of 2025 contains FY2026 Arkansas Department of Health (ADH) appropriation items for Trauma System operations, supporting the ADH trauma-related funds referenced in-thread.
",budget,"{""title"": ""Arkansas Act 538 of 2025 (ADH Operations)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=538.pdf&ddBienniumSession=2025%2F2025R""}",high,pending
EVID-AR-ACT538-2025-S8-ADH-Operations-349686818-FY2026,AR_FY2026_ADH_OPERATIONS_ACT538_SEC8,"Act 538 of 2025 appropriates a total of $349,686,818 to the Arkansas Department of Health for Operations for FY2026 (including regular salaries, extra help, personal services matching, operating expenses, and other line items).",budget,"{""title"": ""Act 538 of 2025 — Arkansas Department of Health Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=538.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT538-2025-S9-ADH-TraumaSystem-4474344-FY2026,AR_FY2026_ADH_TRAUMA_EMS_ACT538_SEC9,"Act 538 of 2025 appropriates $4,474,344 to the Arkansas Department of Health for the Trauma System for FY2026 (operating expenses; professional fees and services; and grants and aid).",budget,"{""title"": ""Act 538 of 2025 — Arkansas Department of Health Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=538.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT58-2021-AccountabilityCourtFund-UseAndFormula,AR_FY2026_AOC_ACCOUNTABILITY_COURT_FUND_ACT776_SEC29 (Statutory fund-use + formula constraint),"Act 58 of 2021 (amending Ark. Code Ann. § 19-5-1144) provides that the Accountability Court Fund shall be used by the Administrative Office of the Courts for adult and juvenile specialty court programs, based on a formula developed by the Arkansas Judicial Council, reviewed by the Specialty Court Program Advisory Committee, and approved by the Legislative Council.",statute,"{""title"": ""Act 58 of 2021 — Accountability Court Fund (Ark. Code Ann. § 19-5-1144 amendment)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2021%2F2021R&file=58.pdf&path=%2FACTS%2F2021R%2FPublic%2F""}",high,accepted
